file	product	site	LOG
NA	NA	NA	SNPGenie initiated at local time Tue Nov 10 16:55:29 2020
temp_vcf4_5_5B.vcf	gene-ORF1ab	851	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	851	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	11536	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	11536	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	11536	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	11536	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	15855	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	15855	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	gene-ORF1ab	18265	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_5_5B.vcf	NA	715	Variant data at this site imply a negative number of T nucleotides: -11. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; T count set to 0; proceed with caution.
temp_vcf4_5_5B.vcf	NA	715	Variant data at this site imply a negative proportion of T nucleotides of -1. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, T prop has set to 0; proceed with caution.
temp_vcf4_5_5B.vcf	NA	851	Variant data at this site imply a negative number of A nucleotides: -48. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; A count set to 0; proceed with caution.
temp_vcf4_5_5B.vcf	NA	851	Variant data at this site imply a negative proportion of A nucleotides of -3. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, A prop has set to 0; proceed with caution.
temp_vcf4_5_5B.vcf	NA	881	Variant data at this site imply a negative number of A nucleotides: -33. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; A count set to 0; proceed with caution.
