file	product	site	LOG
NA	NA	NA	SNPGenie initiated at local time Tue Nov 10 17:34:37 2020
temp_vcf4_6_4B.vcf	gene-ORF1ab	9114	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_6_4B.vcf	gene-ORF1ab	9114	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_6_4B.vcf	gene-ORF1ab	9114	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_6_4B.vcf	gene-ORF1ab	9114	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_6_4B.vcf	gene-S	24319	There are conflicting coverages reported. An averaging has taken place
temp_vcf4_6_4B.vcf	NA	8728	Variant data at this site imply a negative number of T nucleotides: -5423. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; T count set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	8728	Variant data at this site imply a negative proportion of T nucleotides of -0.99963133640553. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, T prop has set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	8799	Variant data at this site imply a negative number of G nucleotides: -10. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; G count set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	8799	Variant data at this site imply a negative proportion of G nucleotides of -1. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, G prop has set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	8866	Variant data at this site imply a negative number of A nucleotides: -19. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; A count set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	8866	Variant data at this site imply a negative proportion of A nucleotides of -1. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, A prop has set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	9110	Variant data at this site imply a negative number of A nucleotides: -14. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; A count set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	9110	Variant data at this site imply a negative proportion of A nucleotides of -1. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, A prop has set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	9114	Variant data at this site imply a negative number of A nucleotides: -87. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; A count set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	9114	Variant data at this site imply a negative proportion of A nucleotides of -5. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, A prop has set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	24319	Variant data at this site imply a negative number of A nucleotides: -10. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; A count set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	24319	Variant data at this site imply a negative proportion of A nucleotides of -1. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, A prop has set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	NA	8728	Coverage (5425.000) does not equal the nucleotide sum (10848.000).
temp_vcf4_6_4B.vcf	NA	8799	Coverage (10.000) does not equal the nucleotide sum (20.000).
temp_vcf4_6_4B.vcf	NA	8866	Coverage (19.000) does not equal the nucleotide sum (38.000).
temp_vcf4_6_4B.vcf	NA	9110	Coverage (14.000) does not equal the nucleotide sum (28.000).
temp_vcf4_6_4B.vcf	NA	9114	Coverage (16.667) does not equal the nucleotide sum (100.000).
temp_vcf4_6_4B.vcf	NA	24319	Coverage (10.500) does not equal the nucleotide sum (21.000).
temp_vcf4_6_4B.vcf	gene-ORF1ab	8728	Variant data at this site imply a negative number of T nucleotides: -5423. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; T count set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	gene-ORF1ab	8728	Variant data at this site imply a negative proportion of T nucleotides of -0.99963133640553. This may result from rounding error, in which case the number will be very small in magnitude, or variants which are assigned to the wrong site in the SNP Report. If the latter, results at this site are unreliable. In either case, T prop has set to 0; proceed with caution.
temp_vcf4_6_4B.vcf	gene-ORF1ab	8799	Variant data at this site imply a negative number of G nucleotides: -10. This most often results from variants which are assigned to the wrong site in the SNP Report. Results at this site are unreliable; G count set to 0; proceed with caution.
