file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_3_5B.vcf	gene-E	8.49047619047619	2.13793103448276	9.1	4	170.471014492754	66.5289855072464	0.0498059814786701	0.0321353319636881	0.0533815090329437	0.0601241694804487	-0.444444444444444	-1.5	-1
temp_vcf4_3_5B.vcf	gene-M	2.11428571428571	0	10	6	507.500000000001	164.5	0.00416608022519352	0	0.0197044334975369	0.0364741641337386	-0.0625	-1	*
temp_vcf4_3_5B.vcf	gene-N	0	2.16666666666667	4	3	961.499999999997	298.5	0	0.00725851479620324	0.00416016640665628	0.0100502512562814	-0.166666666666667	*	-1
temp_vcf4_3_5B.vcf	gene-ORF10	0	0	0	2	87.6666666666667	26.3333333333333	0	0	0	0.0759493670886076	0	*	*
temp_vcf4_3_5B.vcf	gene-ORF1ab	123.59634270222	168.501354315536	346.367342930971	677.554906862246	27812.3242495168	8020.24319205137	0.00444394152726616	0.0210095068541728	0.0124537359705559	0.0844805937473007	-2.47205210059624	-5.25806451612903	-3.76923076923077
temp_vcf4_3_5B.vcf	gene-ORF3a	2.13333333333333	0	19.7142857142857	3.28571428571429	628.833333333333	199.166666666667	0.00339252584150543	0	0.0313505736246261	0.0164973102211596	-0.0454545454545455	-1	*
temp_vcf4_3_5B.vcf	gene-ORF6	0	0	1	0	146	37	0	0	0.00684931506849315	0	0	*	*
temp_vcf4_3_5B.vcf	gene-ORF7a	0	0	18.3807641633729	2.71014492753623	273.333333333333	86.6666666666667	0	0	0.0672466981586812	0.0312709030100334	0	*	*
temp_vcf4_3_5B.vcf	gene-ORF7b	0	0	3	1	101.666666666667	27.3333333333333	0	0	0.0295081967213115	0.0365853658536585	0	*	*
temp_vcf4_3_5B.vcf	gene-ORF8	6.48245614035088	2.15789473684211	4.42105263157895	6.57894736842105	286.80081300813	85.1991869918699	0.022602642134655	0.0253276446998024	0.0154150631067201	0.0772184289628121	-0.375	-1	*
temp_vcf4_3_5B.vcf	gene-S	15.1821706658192	4.36497695852534	26.1724137931034	16.8275862068966	2930.58904787412	895.116834478818	0.00518058670724661	0.00487643265146148	0.00893076899065367	0.0187993182104484	-0.170731707317073	-1	*
