	mean πS	std πS	mean πN	std πN	πN/πS	statistic, p-value
ORF1ab	0.015669587563242153	0.005609277332291581	0.0030193343554489166	0.0011243296438262565	0.19526501340004132	Ttest_indResult(statistic=6.254372639932207, pvalue=2.1112138003684405e-05)
S	0.0015643297063710545	0.0005998972947352418	0.0006444125692876121	0.0004672371653195705	0.41399533877326783	Ttest_indResult(statistic=3.3373872948409917, pvalue=0.005348877933120044)
ORF3a	0.0053666972739874	8.639990972434849e-07	0.005878148376515582	0.0022671794838157633	0.6418990151145249	Ttest_indResult(statistic=-0.30265960608105535, pvalue=0.7723676435255207)
E	0.011706915787695551	0.010139154789425767	0.011930123572209392	0.005718982766989685	0.7196006666200174	Ttest_indResult(statistic=-0.04563882149954802, pvalue=0.9647168039234166)
M			0.0021380255740937547	5.9134728503489006e-05		Ttest_indResult(statistic=nan, pvalue=nan)
ORF6			0.0073948290972831			Ttest_indResult(statistic=nan, pvalue=nan)
ORF7a	0.0119921689653518	0.0004868849259249612				Ttest_indResult(statistic=nan, pvalue=nan)
ORF8	0.031185560883230292	0.012756362847942973				Ttest_indResult(statistic=nan, pvalue=nan)
N	0.005292409754471018	0.0029405362428608812	0.003035920257665984	0.0014030582619201722	0.7446255412115401	Ttest_indResult(statistic=1.4104855227470392, pvalue=0.19607433987048495)
ORF10						Ttest_indResult(statistic=nan, pvalue=nan)
